"Gemeente","Aantal"
"Papendrecht",10
"Peel en Maas",5
"Pekela",0
"Pijnacker-Nootdorp",5
"Purmerend",10
"Putten",1
"Raalte",6
"Reimerswaal",1
"Renkum",2
"Renswoude",0
"Reusel-De Mierden",1
"Rheden",8
"Rhenen",7
"Ridderkerk",18
"Rijssen-Holten",36
"Rijswijk",10
"Roerdalen",0
"Roermond",6
"Roosendaal",6
"Rotterdam",210
"Rozendaal",0
"Rucphen",4
"s-Gravenhage",152
"Schagen",1
"Scherpenzeel",4
"Schiedam",27
"Schiermonnikoog",0
"Schouwen-Duiveland",10
"Simpelveld",5
"Sint Anthonis",1
"Sint-Michielsgestel",11
"Sittard-Geleen",18
"Sliedrecht",6
"Sluis",0
"Smallingerland",3
"Soest",4
"Someren",0
"Son en Breugel",1
"Stadskanaal",2
"Staphorst",3
"Stede Broec",0
"Steenbergen",5
"Steenwijkerland",2
"Stein",3
"Stichtse Vecht",9
"Súdwest-Fryslân",25
"Terneuzen",6
"Terschelling",0
"Texel",1
"Teylingen",4
"Tholen",9
"Tiel",5
"Tilburg",39
"Tubbergen",2
"Twenterand",1
"Tynaarlo",0
"Tytsjerksteradiel",0
"Uden",5
"Uitgeest",0
"Uithoorn",3
"Urk",9
"Utrecht",87
"Utrechtse Heuvelrug",9
"Vaals",1
"Valkenburg aan de Geul",7
"Valkenswaard",4
"Veendam",0
"Veenendaal",3
"Veere",0
"Veldhoven",5
"Velsen",3
"Venlo",6
"Venray",2
"Vijfheerenlanden",15
"Vlaardingen",27
"Vlieland",0
"Vlissingen",1
"Voerendaal",2
"Voorschoten",12
"Voorst",0
"Vught",1
"Waadhoeke",10
"Waalre",0
"Waalwijk",5
"Waddinxveen",13
"Wageningen",2
"Wassenaar",3
"Waterland",0
"Weert",3
"Weesp",5
"West Betuwe",11
"West Maas en Waal",4
"Westerkwartier",0
"Westerveld",0
"Westervoort",2
"Westerwolde",0
"Westland",15
"Weststellingwerf",1
"Westvoorne",0
"Wierden",4
"Wijchen",7
"Wijdemeren",5
"Wijk bij Duurstede",0
"Winterswijk",2
"Woensdrecht",4
"Woerden",14
"Wormerland",2
"Woudenberg",1
"Zaanstad",41
"Zaltbommel",10
"Zandvoort",0
"Zeewolde",4
"Zeist",16
"Zevenaar",14
"Zoetermeer",12
"Zoeterwoude",2
"Zuidplas",4
"Zundert",7
"Zutphen",7
"Zwartewaterland",0
"Zwijndrecht",25
"Zwolle",2
"'s-Hertogenbosch",72
"Aa en Hunze",1
"Aalsmeer",2
"Aalten",6
"Achtkarspelen",2
"Alblasserdam",4
"Albrandswaard",11
"Alkmaar",25
"Almelo",6
"Almere",94
"Alphen aan den Rijn",22
"Alphen-Chaam",2
"Altena",12
"Ameland",0
"Amersfoort",25
"Amstelveen",28
"Amsterdam",428
"Apeldoorn",68
"Appingedam",1
"Arnhem",46
"Assen",6
"Asten",11
"Baarle-Nassau",5
"Baarn",15
"Barendrecht",23
"Barneveld",13
"Beek",5
"Beekdaelen",39
"Beemster",1
"Beesel",1
"Berg en Dal",10
"Bergeijk",5
"Bergen (L.)",4
"Bergen (NH.)",3
"Bergen op Zoom",29
"Berkelland",11
"Bernheze",28
"Best",15
"Beuningen",10
"Beverwijk",2
"Bladel",9
"Blaricum",3
"Bloemendaal",5
"Bodegraven-Reeuwijk",14
"Boekel",3
"Borger-Odoorn",2
"Borne",6
"Borsele",1
"Boxmeer",18
"Boxtel",8
"Breda",47
"Brielle",5
"Bronckhorst",15
"Brummen",4
"Brunssum",17
"Bunnik",14
"Bunschoten",10
"Buren",11
"Capelle aan den IJssel",35
"Castricum",2
"Coevorden",8
"Cranendonck",9
"Cuijk",21
"Culemborg",5
"Dalfsen",8
"Dantumadiel",0
"De Bilt",39
"De Fryske Marren",5
"De Ronde Venen",13
"De Wolden",8
"Delft",20
"Delfzijl",2
"Den Helder",1
"Deurne",21
"Deventer",47
"Diemen",28
"Dinkelland",4
"Doesburg",10
"Doetinchem",18
"Dongen",12
"Dordrecht",46
"Drechterland",2
"Drimmelen",8
"Dronten",16
"Druten",8
"Duiven",8
"Echt-Susteren",9
"Edam-Volendam",10
"Ede",26
"Eemnes",0
"Eersel",6
"Eijsden-Margraten",20
"Eindhoven",68
"Elburg",21
"Emmen",25
"Enkhuizen",2
"Enschede",22
"Epe",18
"Ermelo",30
"Etten-Leur",25
"Geertruidenberg",9
"Geldrop-Mierlo",15
"Gemert-Bakel",17
"Gennep",5
"Gilze en Rijen",7
"Goeree-Overflakkee",7
"Goes",3
"Goirle",4
"Gooise Meren",9
"Gorinchem",14
"Gouda",19
"Grave",12
"Groningen",13
"Gulpen-Wittem",12
"Haaksbergen",3
"Haaren",5
"Haarlem",24
"Haarlemmermeer",36
"Halderberge",2
"Hardenberg",15
"Harderwijk",37
"Hardinxveld-Giessendam",3
"Harlingen",0
"Hattem",2
"Heemskerk",3
"Heemstede",1
"Heerde",28
"Heerenveen",8
"Heerhugowaard",16
"Heerlen",60
"Heeze-Leende",4
"Heiloo",3
"Hellendoorn",31
"Hellevoetsluis",4
"Helmond",59
"Hendrik-Ido-Ambacht",8
"Hengelo",5
"Het Hogeland",2
"Heumen",10
"Heusden",24
"Hillegom",2
"Hilvarenbeek",6
"Hilversum",54
"Hoeksche Waard",72
"Hof van Twente",4
"Hollands Kroon",2
"Hoogeveen",17
"Hoorn",5
"Horst aan de Maas",14
"Houten",14
"Huizen",33
"Hulst",3
"IJsselstein",30
"Kaag en Braassem",3
"Kampen",32
"Kapelle",3
"Katwijk",33
"Kerkrade",50
"Koggenland",4
"Krimpen aan den IJssel",12
"Krimpenerwaard",21
"Laarbeek",16
"Landerd",20
"Landgraaf",22
"Landsmeer",1
"Langedijk",2
"Lansingerland",18
"Laren",1
"Leeuwarden",4
"Leiden",21
"Leiderdorp",6
"Leidschendam-Voorburg",14
"Lelystad",33
"Leudal",11
"Leusden",8
"Lingewaard",25
"Lisse",3
"Lochem",12
"Loon op Zand",4
"Lopik",10
"Loppersum",0
"Losser",2
"Maasdriel",12
"Maasgouw",24
"Maassluis",7
"Maastricht",153
"Medemblik",7
"Meerssen",21
"Meierijstad",72
"Meppel",3
"Middelburg",10
"Midden-Delfland",2
"Midden-Drenthe",1
"Midden-Groningen",4
"Mill en Sint Hubert",7
"Moerdijk",16
"Molenlanden",15
"Montferland",13
"Montfoort",4
"Mook en Middelaar",4
"Neder-Betuwe",33
"Nederweert",7
"Nieuwegein",22
"Nieuwkoop",1
"Nijkerk",6
"Nijmegen",46
"Nissewaard",28
"Noardeast-Fryslân",0
"Noord-Beveland",2
"Noordenveld",1
"Noordoostpolder",20
"Noordwijk",5
"Nuenen, Gerwen en Nederwetten",8
"Nunspeet",43
"Oegstgeest",2
"Oirschot",6
"Oisterwijk",4
"Oldambt",3
"Oldebroek",36
"Oldenzaal",2
"Olst-Wijhe",7
"Ommen",4
"Oost Gelre",6
"Oosterhout",23
"Ooststellingwerf",2
"Oostzaan",3
"Opmeer",1
"Opsterland",2
"Oss",38
"Oude IJsselstreek",15
"Ouder-Amstel",7
"Oudewater",5
"Overbetuwe",13
"Papendrecht",13
"Peel en Maas",16
"Pekela",0
"Pijnacker-Nootdorp",23
"Purmerend",29
"Putten",5
"Raalte",28
"Reimerswaal",3
"Renkum",9
"Renswoude",3
"Reusel-De Mierden",1
"Rheden",36
"Rhenen",9
"Ridderkerk",22
"Rijssen-Holten",46
"Rijswijk",23
"Roerdalen",4
"Roermond",7
"Roosendaal",32
"Rotterdam",402
"Rozendaal",0
"Rucphen",19
"s-Gravenhage",285
"Schagen",5
"Scherpenzeel",5
"Schiedam",36
"Schiermonnikoog",0
"Schouwen-Duiveland",19
"Simpelveld",3
"Sint Anthonis",1
"Sint-Michielsgestel",13
"Sittard-Geleen",60
"Sliedrecht",14
"Sluis",0
"Smallingerland",10
"Soest",5
"Someren",14
"Son en Breugel",6
"Stadskanaal",0
"Staphorst",4
"Stede Broec",3
"Steenbergen",20
"Steenwijkerland",9
"Stein",16
"Stichtse Vecht",11
"Súdwest-Fryslân",7
"Terneuzen",9
"Terschelling",0
"Texel",0
"Teylingen",7
"Tholen",7
"Tiel",16
"Tilburg",70
"Tubbergen",5
"Twenterand",7
"Tynaarlo",2
"Tytsjerksteradiel",0
"Uden",18
"Uitgeest",1
"Uithoorn",4
"Urk",12
"Utrecht",183
"Utrechtse Heuvelrug",11
"Vaals",1
"Valkenburg aan de Geul",14
"Valkenswaard",45
"Veendam",1
"Veenendaal",35
"Veere",1
"Veldhoven",11
"Velsen",26
"Venlo",31
"Venray",5
"Vijfheerenlanden",34
"Vlaardingen",58
"Vlieland",0
"Vlissingen",2
"Voerendaal",4
"Voorschoten",16
"Voorst",3
"Vught",8
"Waadhoeke",12
"Waalre",3
"Waalwijk",16
"Waddinxveen",8
"Wageningen",5
"Wassenaar",8
"Waterland",4
"Weert",13
"Weesp",32
"West Betuwe",20
"West Maas en Waal",7
"Westerkwartier",3
"Westerveld",2
